,C,HW,K,RS
1149,256,104,1024,7
1150,256,104,96,3
1151,256,104,96,5
1152,256,104,96,1
1153,256,104,96,11
1154,256,104,96,7
1155,256,104,6,3
1156,256,104,6,5
1157,256,104,6,1
1158,256,104,6,11
1159,256,104,6,7
1160,256,104,28,3
1161,256,104,28,5
1162,256,104,28,1
1163,256,104,28,11
1164,256,104,28,7
1165,256,104,192,3
1166,256,104,192,5
1167,256,104,192,1
1168,256,104,192,11
1169,256,104,192,7
1170,256,104,9,3
1171,256,104,9,5
1172,256,104,9,1
1173,256,104,9,11
1174,256,104,9,7
1175,256,104,12,3
1176,256,104,12,5
1177,256,104,12,1
1178,256,104,12,11
1179,256,104,12,7
1180,256,104,56,3
1181,256,104,56,5
1182,256,104,56,1
1183,256,104,56,11
1184,256,104,56,7
1185,256,104,3,3
1186,256,104,3,5
1187,256,104,3,1
1188,256,104,3,11
1189,256,104,3,7
1190,256,112,512,3
1191,256,112,512,5
1192,256,112,512,1
1193,256,112,512,11
1194,256,112,512,7
1195,256,112,16,3
1196,256,112,16,5
1197,256,112,16,1
1198,256,112,16,11
1199,256,112,16,7
1200,256,112,32,3
1201,256,112,32,5
1202,256,112,32,1
1203,256,112,32,11
1204,256,112,32,7
1205,256,112,64,3
1206,256,112,64,5
1207,256,112,64,1
1208,256,112,64,11
1209,256,112,64,7
1210,256,112,384,3
1211,256,112,384,5
1212,256,112,384,1
1213,256,112,384,11
1214,256,112,384,7
1215,256,112,256,3
1216,256,112,256,5
1217,256,112,256,1
1218,256,112,256,11
1219,256,112,256,7
1220,256,112,128,3
1221,256,112,128,5
1222,256,112,128,1
1223,256,112,128,11
1224,256,112,128,7
1225,256,112,255,3
1226,256,112,255,5
1227,256,112,255,1
1228,256,112,255,11
1229,256,112,255,7
1230,256,112,1024,3
1231,256,112,1024,5
1232,256,112,1024,1
1233,256,112,1024,11
1234,256,112,1024,7
1235,256,112,96,3
1236,256,112,96,5
1237,256,112,96,1
1238,256,112,96,11
1239,256,112,96,7
1240,256,112,6,3
1241,256,112,6,5
1242,256,112,6,1
1243,256,112,6,11
1244,256,112,6,7
1245,256,112,28,3
1246,256,112,28,5
1247,256,112,28,1
1248,256,112,28,11
1249,256,112,28,7
1250,256,112,192,3
1251,256,112,192,5
1252,256,112,192,1
1253,256,112,192,11
1254,256,112,192,7
1255,256,112,9,3
1256,256,112,9,5
1257,256,112,9,1
1258,256,112,9,11
1259,256,112,9,7
1260,256,112,12,3
1261,256,112,12,5
1262,256,112,12,1
1263,256,112,12,11
1264,256,112,12,7
1265,256,112,56,3
1266,256,112,56,5
1267,256,112,56,1
1268,256,112,56,11
1269,256,112,56,7
1270,256,112,3,3
1271,256,112,3,5
1272,256,112,3,1
1273,256,112,3,11
1274,256,112,3,7
1275,256,128,512,3
1276,256,128,512,5
1277,256,128,512,1
1278,256,128,512,11
1279,256,128,512,7
1280,256,128,16,3
1281,256,128,16,5
1282,256,128,16,1
1283,256,128,16,11
1284,256,128,16,7
1285,256,128,32,3
1286,256,128,32,5
1287,256,128,32,1
1288,256,128,32,11
1289,256,128,32,7
1290,256,128,64,3
1291,256,128,64,5
1292,256,128,64,1
1293,256,128,64,11
1294,256,128,64,7
1295,256,128,384,3
1296,256,128,384,5
1297,256,128,384,1
1298,256,128,384,11
1299,256,128,384,7
1300,256,128,256,3
1301,256,128,256,5
1302,256,128,256,1
1303,256,128,256,11
1304,256,128,256,7
1305,256,128,128,3
1306,256,128,128,5
1307,256,128,128,1
1308,256,128,128,11
1309,256,128,128,7
1310,256,128,255,3
1311,256,128,255,5
1312,256,128,255,1
1313,256,128,255,11
1314,256,128,255,7
1315,256,128,1024,3
1316,256,128,1024,5
1317,256,128,1024,1
1318,256,128,1024,11
1319,256,128,1024,7
